ID,Town,Website
187,Aberdeen,https://tobuyfishandchips.com/our_menu.php
188,Aberdeen,https://www.lowstraditional.com/menu
189,Aberdeen,http://www.moirchipshopaberdeen.co.uk/menu
190,Dundee,https://joesfishbar.co.uk/our_menu.php
191,Dundee,https://thevictor-fishbar.co.uk/Menu
192,Dundee,http://www.frankiesfs.co.uk/menu/
193,Dundee,https://www.deniros-dundee.co.uk/takeaway/menus.php
194,Dundee,http://www.tonystakeaway.co.uk/takeaway/menus.php
195,Dundee,https://kohenoordundee.com/our_menu.php
196,Inverness,http://www.maxs2inverness.com/storemenu
197,Inverness,http://www.thefriaryfishandchips.co.uk
198,Dumfries,http://palmerstoncafe.com/menus/
199,Dumfries,http://www.marmaristakeawaydumfries.com
200,Dumfries,https://dantesfishandchips.co.uk/our_menu.php
201,Dumfries,https://benvenutoonline.co.uk/our_menu.php
202,Dumfries,https://www.noblehillcafe.co.uk/menu
203,Middlesbrough,https://bhpizzeriachippy.co.uk/our_menu.php
204,Middlesbrough,https://debbieandrachelsplaice.com/menu/
205,Middlesbrough,https://goldenbelltakeaway.wixsite.com/screen/menu
206,Durham,http://www.maguiresfishandchips.co.uk/#menu
207,Durham,https://westgatefishandgrill.com/our_menu.php
208,Durham,http://www.starbeckfishandchips.co.uk/#menu
209,Durham,http://www.benshamfishbar.co.uk/#menu
210,Durham,http://www.gillsgoldenfishandchipsonline.co.uk/#menu
211,Durham,http://www.tonysgoldenfish.co.uk/#menu
212,Penrith,https://www.thelittlechippypenrith.co.uk/our-menu/
213,Penrith,https://www.angellanechippie.com/take-away-menu
214,Penrith,http://www.sandgatefriery.co.uk/menu
215,Ayr,http://www.theluckystarayr.co.uk/menu
216,Ayr,http://www.marcosayr.co.uk/food-menu/
217,Ayr,https://orlandos-ayr.co.uk/Menu
218,Ayr,http://dinostakeaway-ayr.co.uk/cgi-bin/snippet.cgi?todo=as_page;instance=5105840;num=1;community_id=1363484
219,Ayr,http://www.unosmossblown.co.uk/menu
220,Kendal,http://www.frydaysofkendal.com/menu/
221,Carlisle,https://warwickfishandchips.com/our_menu.php
222,Carlisle,https://homeandawayonline.com/our_menu.php
223,Carlisle,https://oktaysfishandchips.co.uk/our_menu.php
224,Carlisle,https://www.orderchinese.co.uk/takeaway-sunny-carlisle/
225,Swansea,http://www.rossisoriginal.co.uk/#menu
226,Swansea,http://hikarysfishbar.com/menu
227,Cardiff,https://sites.google.com/a/pulse.me.uk/parclanefishandchips/menu
228,Cardiff,http://www.elliesfishandchips.co.uk
229,Cardiff,http://pagesfishandchips.com/#menu
230,Plymouth,http://topshopfishandchips.co.uk/our-menu/
231,Plymouth,http://www.perillasfishandchips.co.uk/Restaurant
232,Falmouth,https://www.marinerstakeaway.com
233,Falmouth,http://www.thegemfishbar.co.uk/
234,Falmouth,http://www.penmerefishbar.co.uk/pages/menu-r.html
235,Exeter,http://www.sidwellfishandchips.co.uk/#menu
236,Exeter,http://www.newjumbotakeaway.co.uk/#menu
237,Cambridge,https://oceandragononline.co.uk/our_menu.php
238,Cambridge,http://www.mrchippypizzacb5.co.uk/#menu
239,Norwich,https://heartseaseohyes.com/our_menu.php
240,Norwich,http://gofish.menu/#menu
241,Ipswich,http://www.frydayschippies.co.uk/
242,Ipswich,http://www.starfishipswich.co.uk/page2.html
243,Ipswich,https://www.nelsons-fishandchips.co.uk/menu
244,Londonderry Derry,https://www.brendanstakeaway.co.uk
